   704.747 0.727E-230.120   638.724      V21   GROUND    42 1     28   0.50 221 28
   704.785 0.105E-220.120   563.680      V21   GROUND    35 1     17   0.50 221 28
   704.785 0.105E-220.120   563.680      V21   GROUND    35 1     18   0.50 221 28
   704.854 0.437E-230.120   752.934      V21   GROUND    49 1     38   0.50 221 28
   704.855 0.437E-230.120   752.934      V21   GROUND    49 1     37   0.50 221 28
   704.870 0.130E-220.120   527.275      V21   GROUND    28 2      7   0.50 221 28
   704.870 0.130E-220.120   527.275      V21   GROUND    28 2      8   0.50 221 28
   704.951 0.643E-230.120   664.489      V21   GROUND    44 1     30   0.50 221 28
   704.951 0.643E-230.120   664.489      V21   GROUND    44 1     31   0.50 221 28
   704.960 0.966E-230.120   577.722      V21   GROUND    37 1     20   0.50 221 28
   704.960 0.966E-230.120   577.722      V21   GROUND    37 1     21   0.50 221 28
   705.030 0.126E-220.120   529.703      V21   GROUND    30 2     10   0.50 221 28
   705.030 0.126E-220.120   529.703      V21   GROUND    30 2     11   0.50 221 28
   705.137 0.143E-220.120   520.188      V21   GROUND    23 2      0   0.50 221 28
   705.137 0.143E-220.120   520.188      V21   GROUND    23 2      1   0.50 221 28
   705.143 0.882E-230.120   595.300      V21   GROUND    39 1     23   0.50 221 28
   705.143 0.882E-230.120   595.300      V21   GROUND    39 1     24   0.50 221 28
   705.176 0.563E-230.120   693.857      V21   GROUND    46 1     33   0.50 221 28
   705.176 0.563E-230.120   693.857      V21   GROUND    46 1     34   0.50 221 28
   705.196 0.120E-220.120   535.643      V21   GROUND    32 1     13   0.50 221 28
   705.196 0.120E-220.120   535.643      V21   GROUND    32 1     14   0.50 221 28
   705.287 0.142E-220.120   514.544      V21   GROUND    25 2      3   0.50 221 28
   705.287 0.142E-220.120   514.544      V21   GROUND    25 2      4   0.50 221 28
   705.334 0.798E-230.120   616.427      V21   GROUND    41 1     26   0.50 221 28
   705.334 0.798E-230.120   616.427      V21   GROUND    41 1     27   0.50 221 28
   705.367 0.113E-220.120   545.101      V21   GROUND    34 1     16   0.50 221 28
   705.367 0.113E-220.120   545.101      V21   GROUND    34 1     17   0.50 221 28
   705.435 0.487E-230.120   726.876      V21   GROUND    48 1     37   0.50 221 28
   705.436 0.487E-230.120   726.876      V21   GROUND    48 1     36   0.50 221 28
   705.444 0.139E-220.120   512.404      V21   GROUND    27 2      6   0.50 221 28
   705.444 0.139E-220.120   512.404      V21   GROUND    27 2      7   0.50 221 28
   705.538 0.710E-230.120   641.123      V21   GROUND    43 1     29   0.50 221 28
   705.538 0.710E-230.120   641.123      V21   GROUND    43 1     30   0.50 221 28
   705.545 0.105E-220.120   558.083      V21   GROUND    36 1     19   0.50 221 28
   705.545 0.105E-220.120   558.083      V21   GROUND    36 1     20   0.50 221 28
   705.606 0.135E-220.120   513.773      V21   GROUND    29 2     10   0.50 221 28
   705.606 0.135E-220.120   513.773      V21   GROUND    29 2      9   0.50 221 28
   705.729 0.966E-230.120   574.598      V21   GROUND    38 1     22   0.50 221 28
   705.729 0.966E-230.120   574.598      V21   GROUND    38 1     23   0.50 221 28
   705.757 0.419E-230.120   763.624      V21   GROUND    50 1     40   0.50 221 28
   705.761 0.626E-230.120   669.416      V21   GROUND    45 1     32   0.50 221 28
   705.761 0.626E-230.120   669.416      V21   GROUND    45 1     33   0.50 221 28
   705.763 0.419E-230.120   763.625      V21   GROUND    50 1     39   0.50 221 28
   705.774 0.129E-220.120   518.654      V21   GROUND    31 1     12   0.50 221 28
   705.774 0.129E-220.120   518.654      V21   GROUND    31 1     13   0.50 221 28
   705.857 0.151E-220.120   501.263      V21   GROUND    24 2      2   0.50 221 28
   705.857 0.151E-220.120   501.263      V21   GROUND    24 2      3   0.50 221 28
   705.921 0.874E-230.120   594.660      V21   GROUND    40 1     25   0.50 221 28
   705.921 0.874E-230.120   594.660      V21   GROUND    40 1     26   0.50 221 28
   705.948 0.122E-220.120   527.051      V21   GROUND    33 1     15   0.50 221 28
   705.948 0.122E-220.120   527.051      V21   GROUND    33 1     16   0.50 221 28
   706.016 0.148E-220.120   498.064      V21   GROUND    26 2      5   0.50 221 28
   706.016 0.148E-220.120   498.064      V21   GROUND    26 2      6   0.50 221 28
   706.016 0.542E-230.120   701.351      V21   GROUND    47 1     35   0.50 221 28
   706.016 0.542E-230.120   701.351      V21   GROUND    47 1     36   0.50 221 28
   706.125 0.781E-230.120   618.288      V21   GROUND    42 1     28   0.50 221 28
   706.125 0.781E-230.120   618.288      V21   GROUND    42 1     29   0.50 221 28
   706.128 0.114E-220.120   538.973      V21   GROUND    35 1     18   0.50 221 28
   706.128 0.114E-220.120   538.973      V21   GROUND    35 1     19   0.50 221 28
   706.181 0.144E-220.120   498.373      V21   GROUND    28 2      8   0.50 221 28
   706.181 0.144E-220.120   498.373      V21   GROUND    28 2      9   0.50 221 28
   706.314 0.105E-220.120   554.426      V21   GROUND    37 1     21   0.50 221 28
   706.314 0.105E-220.120   554.426      V21   GROUND    37 1     22   0.50 221 28
   706.328 0.470E-230.120   737.001      V21   GROUND    49 1     39   0.50 221 28
   706.333 0.470E-230.120   737.002      V21   GROUND    49 1     38   0.50 221 28
   706.347 0.693E-230.120   645.507      V21   GROUND    44 1     31   0.50 221 28
   706.347 0.693E-230.120   645.507      V21   GROUND    44 1     32   0.50 221 28
   706.352 0.139E-220.120   502.194      V21   GROUND    30 1     11   0.50 221 28
