                                HAZE                                                        HCN 
  232.47 0.3659E+00   177.33  0.2985E-03  0.2950E-03  0.3021E-03  0.2953E-03  0.3018E-03  0.7812E-06  0.6782E-06  0.8999E-06  0.7726E-06  0.7898E-06
  226.50 0.4162E+00   175.88  0.3322E-03  0.3284E-03  0.3361E-03  0.3287E-03  0.3358E-03  0.7302E-06  0.6339E-06  0.8411E-06  0.7225E-06  0.7380E-06
  220.60 0.4733E+00   174.43  0.3652E-03  0.3611E-03  0.3693E-03  0.3615E-03  0.3690E-03  0.6875E-06  0.5968E-06  0.7919E-06  0.6805E-06  0.6946E-06
  214.77 0.5382E+00   172.99  0.3919E-03  0.3876E-03  0.3962E-03  0.3880E-03  0.3959E-03  0.6536E-06  0.5674E-06  0.7529E-06  0.6471E-06  0.6602E-06
  209.02 0.6121E+00   171.33  0.4110E-03  0.4065E-03  0.4155E-03  0.4069E-03  0.4151E-03  0.6287E-06  0.5458E-06  0.7242E-06  0.6225E-06  0.6350E-06
  203.35 0.6962E+00   169.72  0.4270E-03  0.4224E-03  0.4317E-03  0.4227E-03  0.4313E-03  0.6125E-06  0.5317E-06  0.7055E-06  0.6064E-06  0.6186E-06
  197.75 0.7917E+00   168.17  0.4481E-03  0.4432E-03  0.4530E-03  0.4436E-03  0.4526E-03  0.6039E-06  0.5243E-06  0.6956E-06  0.5979E-06  0.6099E-06
  192.23 0.9004E+00   166.63  0.4827E-03  0.4776E-03  0.4879E-03  0.4780E-03  0.4875E-03  0.6016E-06  0.5222E-06  0.6930E-06  0.5957E-06  0.6075E-06
  186.78 0.1024E+01   165.09  0.5347E-03  0.5291E-03  0.5403E-03  0.5296E-03  0.5398E-03  0.6012E-06  0.5219E-06  0.6925E-06  0.5955E-06  0.6069E-06
  181.40 0.1165E+01   163.56  0.6012E-03  0.5951E-03  0.6073E-03  0.5956E-03  0.6068E-03  0.5995E-06  0.5204E-06  0.6906E-06  0.5939E-06  0.6051E-06
  176.09 0.1324E+01   162.00  0.6725E-03  0.6659E-03  0.6793E-03  0.6663E-03  0.6788E-03  0.5911E-06  0.5131E-06  0.6809E-06  0.5856E-06  0.5966E-06
  170.85 0.1506E+01   160.40  0.7345E-03  0.7272E-03  0.7419E-03  0.7276E-03  0.7415E-03  0.5731E-06  0.4975E-06  0.6601E-06  0.5677E-06  0.5785E-06
  165.69 0.1713E+01   158.79  0.7810E-03  0.7729E-03  0.7891E-03  0.7734E-03  0.7886E-03  0.5414E-06  0.4700E-06  0.6236E-06  0.5361E-06  0.5466E-06
  160.60 0.1948E+01   157.21  0.8190E-03  0.8103E-03  0.8279E-03  0.8110E-03  0.8271E-03  0.4943E-06  0.4291E-06  0.5694E-06  0.4895E-06  0.4992E-06
  155.57 0.2215E+01   155.82  0.8651E-03  0.8556E-03  0.8747E-03  0.8567E-03  0.8736E-03  0.4348E-06  0.3775E-06  0.5009E-06  0.4306E-06  0.4391E-06
