
                       712.985 cm-1
                                HAZE
  257.06  0.21875E+00  181.79    0.11088E-01  0.13998E-01  0.17625E-01  0.23670E-01  0.33120E-01  0.49262E-01  0.84528E-01  0.23276E+00  0.00000E+00  0.00000E+00  0.00000E+00
  250.81  0.24878E+00  180.91    0.12876E-01  0.16330E-01  0.20672E-01  0.27969E-01  0.39570E-01  0.60110E-01  0.10940E+00  0.43767E+00  0.00000E+00  0.00000E+00  0.00000E+00
  244.63  0.28293E+00  179.92    0.14788E-01  0.18851E-01  0.24005E-01  0.32756E-01  0.46948E-01  0.73249E-01  0.14603E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  238.52  0.32176E+00  178.73    0.16800E-01  0.21537E-01  0.27609E-01  0.38042E-01  0.55383E-01  0.89483E-01  0.21046E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  232.47  0.36593E+00  177.33    0.18843E-01  0.24308E-01  0.31396E-01  0.43755E-01  0.64923E-01  0.11003E+00  0.43738E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  226.50  0.41616E+00  175.88    0.20762E-01  0.26967E-01  0.35126E-01  0.49604E-01  0.75360E-01  0.13694E+00  0.17501E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  220.60  0.47328E+00  174.43    0.22268E-01  0.29140E-01  0.38320E-01  0.54959E-01  0.86047E-01  0.17505E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  214.77  0.53825E+00  172.99    0.22996E-01  0.30343E-01  0.40336E-01  0.58933E-01  0.96015E-01  0.24583E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  209.02  0.61213E+00  171.33    0.22696E-01  0.30227E-01  0.40690E-01  0.60816E-01  0.10475E+00  0.41612E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  203.35  0.69615E+00  169.72    0.21987E-01  0.29587E-01  0.40410E-01  0.62127E-01  0.11635E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  197.75  0.79171E+00  168.17    0.21353E-01  0.29065E-01  0.40378E-01  0.64367E-01  0.13935E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  192.23  0.90038E+00  166.63    0.21147E-01  0.29160E-01  0.41336E-01  0.69170E-01  0.21570E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  186.78  0.10240E+01  165.09    0.21462E-01  0.30033E-01  0.43633E-01  0.78225E-01  0.18552E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  181.40  0.11645E+01  163.56    0.22129E-01  0.31493E-01  0.47171E-01  0.94203E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  176.09  0.13244E+01  162.00    0.22782E-01  0.33065E-01  0.51499E-01  0.12610E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  170.85  0.15062E+01  160.40    0.23068E-01  0.34262E-01  0.56220E-01  0.26281E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  165.69  0.17129E+01  158.79    0.23002E-01  0.35118E-01  0.62039E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  160.60  0.19480E+01  157.21    0.22989E-01  0.36293E-01  0.71904E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  155.57  0.22154E+01  155.82    0.23705E-01  0.39007E-01  0.95865E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  150.60  0.25195E+01  154.51    0.25526E-01  0.44308E-01  0.20300E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  145.70  0.28653E+01  153.16    0.28452E-01  0.53105E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  140.85  0.32586E+01  151.59    0.31837E-01  0.66095E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  136.08  0.37059E+01  149.81    0.34614E-01  0.85787E-01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  131.39  0.42146E+01  147.64    0.34904E-01  0.13272E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
