   510.492 0.252E-250.069  2685.589    12202    11101 42  1 31  3 Q 39 0.78 626  2
   510.521 0.129E-250.084  2699.191    21103    20002 52  1 41  3 Q  8 0.71 626  2
   510.522 0.373E-250.090  2079.204    12202    11101 42  1 32  2 R  2 0.75 626  2
   510.626 0.148E-250.081  2713.993    21103    20002 52  1 41  3 Q 10 0.70 626  2
   510.726 0.197E-250.069  2748.768    12202    11101 42  1 31  3 Q 41 0.78 626  2
   510.754 0.163E-250.079  2731.912    21103    20002 52  1 41  3 Q 12 0.69 626  2
   510.822 0.823E-260.070  1804.228    11102    10001 31  1 21  3 P 34 0.78 628  2
   510.904 0.171E-250.078  2752.945    21103    20002 52  1 41  3 Q 14 0.69 626  2
   510.916 0.508E-240.069  2160.309    11102    10001 31  1 21  3 P 44 0.78 626  2
   510.970 0.151E-250.069  2815.061    12202    11101 42  1 31  3 Q 43 0.78 626  2
   511.076 0.174E-250.076  2777.094    21103    20002 52  1 41  3 Q 16 0.71 626  2
   511.102 0.173E-260.098  2671.143    21103    20002 51  1 41  2 R  0 0.74 626  2
   511.223 0.114E-250.069  2884.465    12202    11101 42  1 31  3 Q 45 0.77 626  2
   511.269 0.172E-250.075  2804.358    21103    20002 52  1 41  3 Q 18 0.74 626  2
   511.320 0.417E-250.089  2081.541    12202    11101 41  2 31  3 R  3 0.74 626  2
   511.360 0.112E-250.074  1533.722    11102    10001 31  1 21  3 P 20 0.76 636  2
   511.484 0.165E-250.074  2834.736    21103    20002 52  1 41  3 Q 20 0.76 626  2
   511.487 0.844E-260.068  2956.981    12202    11101 42  1 31  3 Q 47 0.77 626  2
   511.561 0.904E-260.070  1779.186    11102    10001 31  1 21  3 P 33 0.78 628  2
   511.673 0.268E-260.070  3375.801    21102    20001 51  3 41  6 P 38 0.78 626  2
   511.721 0.155E-250.073  2868.227    21103    20002 52  1 41  3 Q 22 0.77 626  2
   511.759 0.617E-260.068  3032.605    12202    11101 42  1 31  3 Q 49 0.76 626  2
   511.920 0.131E-260.068  3032.605    20003    11101 41  1 31  3 R 49 0.76 626  2
   511.979 0.143E-250.072  2904.832    21103    20002 52  1 41  3 Q 24 0.78 626  2
   512.041 0.443E-260.068  3111.339    12202    11101 42  1 31  3 Q 51 0.76 626  2
   512.098 0.461E-250.087  2084.682    12202    11101 42  1 32  3 R  4 0.74 626  2
   512.258 0.128E-250.072  2944.550    21103    20002 52  1 41  3 Q 26 0.78 626  2
   512.300 0.989E-260.070  1754.878    11102    10001 31  1 21  3 P 32 0.78 628  2
   512.331 0.313E-260.067  3193.179    12202    11101 42  1 31  3 Q 53 0.75 626  2
   512.399 0.677E-240.069  2092.492    11102    10001 31  1 21  3 P 42 0.78 626  2
   512.558 0.113E-250.071  2987.379    21103    20002 52  1 41  3 Q 28 0.78 626  2
   512.630 0.218E-260.067  3278.126    12202    11101 42  1 31  3 Q 55 0.74 626  2
   512.675 0.345E-260.090  2673.481    21103    20002 51  1 41  3 R  2 0.75 626  2
   512.827 0.117E-250.075  1503.331    11102    10001 31  1 21  3 P 18 0.74 636  2
   512.879 0.980E-260.071  3033.320    21103    20002 52  1 41  3 Q 30 0.78 626  2
   512.916 0.505E-250.086  2088.568    12202    11101 41  2 31  3 R  5 0.73 626  2
   512.938 0.149E-260.066  3366.178    12202    11101 42  1 31  3 Q 57 0.73 626  2
   513.039 0.108E-250.070  1731.307    11102    10001 31  1 21  3 P 31 0.78 628  2
   513.220 0.832E-260.070  3082.371    21103    20002 52  1 41  3 Q 32 0.78 626  2
   513.253 0.100E-260.066  3457.333    12202    11101 42  1 31  3 Q 59 0.73 626  2
   513.331 0.342E-260.070  3317.251    21102    20001 51  3 41  6 P 36 0.78 626  2
   513.581 0.693E-260.070  3134.532    21103    20002 52  1 41  3 Q 34 0.78 626  2
   513.679 0.545E-250.085  2093.291    12202    11101 42  1 32  3 R  6 0.72 626  2
